dropped, rows
117, 30
151, 46
122, 32
89, 19
138, 38
91, 21
123, 33
143, 42
100, 23
109, 27
111, 28
120, 31
119, 30
212, 70
84, 17
91, 19
148, 42
87, 18
110, 29
156, 48
227, 76
52, 4
103, 25
142, 41
136, 40
132, 37
223, 73
149, 44
144, 40
149, 42
140, 40
194, 62
89, 19
104, 25
154, 46
109, 28
65, 9
140, 41
85, 17
135, 37
96, 21
121, 33
166, 51
128, 36
86, 17
121, 32
119, 31
118, 30
115, 30
143, 42
98, 23
88, 19
88, 19
79, 14
74, 13
134, 37
80, 15
144, 42
99, 23
123, 34
147, 42
104, 25
116, 29
89, 19
74, 13
152, 44
101, 23
143, 41
100, 23
93, 20
121, 34
101, 24
66, 9
107, 28
114, 30
129, 35
121, 32
75, 13
119, 30
73, 12
87, 19
82, 16
97, 22
137, 37
138, 41
145, 42
123, 33
180, 57
107, 27
103, 26
85, 17
96, 21
115, 29
166, 50
221, 73
157, 48
95, 22
93, 21
167, 51
115, 30
